- Shiny -------------------------------------------------------------------------------------------------------------------------
# -1: CreateBoxMon,GetMonSpritePalFromSpeciesAndPersonality,GetMonSpritePalStructFromOtIdPersonality,IsShinyOtIdPersonality,sub_8172EF0
#  0: apparently used for pokedex pokemon palette choosing, although I can't find the function in pokefirered
AXVE0.scripts.shiny.odds-1 03A8A2,040968,0409DE,040CF4,14187A  # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
AXVE1.scripts.shiny.odds-1 03A8A2,040988,0409FE,040D14,14189A  # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
AXPE0.scripts.shiny.odds-1 03A8A2,040968,0409DE,040CF4,14187A  # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
AXPE1.scripts.shiny.odds-1 03A8A2,040988,0409FE,040D14,14189A  # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
BPRE0.scripts.shiny.odds   104A24                              # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
BPRE0.scripts.shiny.odds-1 03DB5E,044120,044196,0444B0,0F1776  # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
BPRE1.scripts.shiny.odds   104A9C                              # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
BPRE1.scripts.shiny.odds-1 03DB72,044134,0441AA,0444C4,0F17EE  # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
BPGE0.scripts.shiny.odds   1049FC                              # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
BPGE0.scripts.shiny.odds-1 03DB5E,044120,044196,0444B0,0F174E  # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
BPGE1.scripts.shiny.odds   104A74                              # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.
BPGE1.scripts.shiny.odds-1 03DB72,044134,0441AA,0444C4,0F17C6  # The odds of a pokemon being shiny are n/65535. For example, if you set the odds to 250, then the final odds are about 1 in 262.

# additional shiny constants found by AGSMG?, used in credits
BPRE0.scripts.shiny.odds   0F41DA,0F4218,0F4258,0F42A0
BPEE0.scripts.newgame.pokemon.level 0B1178

BPRE0.scripts.newgame.start.bank 054A04
BPRE0.scripts.newgame.start.map  054A06
BPRE0.scripts.newgame.start.x    054A08
BPRE0.scripts.newgame.start.y    054A00
BPGE0.scripts.newgame.start.bank 054A04
BPGE0.scripts.newgame.start.map  054A06
BPGE0.scripts.newgame.start.x    054A08
BPGE0.scripts.newgame.start.y    054A00
BPRE1.scripts.newgame.start.bank 054A18
BPRE1.scripts.newgame.start.map  054A1A
BPRE1.scripts.newgame.start.x    054A1C
BPRE1.scripts.newgame.start.y    054A14
BPGE1.scripts.newgame.start.bank 054A18
BPGE1.scripts.newgame.start.map  054A1A
BPGE1.scripts.newgame.start.x    054A1C
BPGE1.scripts.newgame.start.y    054A14

BPRE0.scripts.newgame.heal.bank  0BFD6C
BPRE0.scripts.newgame.heal.map   0BFD70
BPRE0.scripts.newgame.heal.x     0BFD74
BPRE0.scripts.newgame.heal.y     0BFD78
BPGE0.scripts.newgame.heal.bank  0BFD40
BPGE0.scripts.newgame.heal.map   0BFD44
BPGE0.scripts.newgame.heal.x     0BFD48
BPGE0.scripts.newgame.heal.y     0BFD4C
BPRE1.scripts.newgame.heal.bank  0BFD80
BPRE1.scripts.newgame.heal.map   0BFD84
BPRE1.scripts.newgame.heal.x     0BFD88
BPRE1.scripts.newgame.heal.y     0BFD8C
BPGE1.scripts.newgame.heal.bank  0BFD54
BPGE1.scripts.newgame.heal.map   0BFD58
BPGE1.scripts.newgame.heal.x     0BFD5C
BPGE1.scripts.newgame.heal.y     0BFD60

# Ruby, Sapphire, and Emerald spawn the player in the middle of the truck instead of predefined coordinates.
AXVE0.scripts.newgame.start.bank 052E0E
AXVE0.scripts.newgame.start.map  052E10
AXPE0.scripts.newgame.start.bank 052E0E
AXPE0.scripts.newgame.start.map  052E10
AXVE1.scripts.newgame.start.bank 052E2E
AXVE1.scripts.newgame.start.map  052E30
AXPE1.scripts.newgame.start.bank 052E2E
AXPE1.scripts.newgame.start.map  052E30
BPEE0.scripts.newgame.start.bank 084456
BPEE0.scripts.newgame.start.map  084458

BPRE0.scripts.newgame.professor.pokemon  12FB38,130F40,130F4C # ID of the pokemon shown during the professor's introduction. Also edit pointers to graphics.pokemon.sprites.front/29 and graphics.pokemon.palettes.normal/29
BPGE0.scripts.newgame.professor.pokemon  12FB10,130F18,130F24 # ID of the pokemon shown during the professor's introduction. Also edit pointers to graphics.pokemon.sprites.front/29 and graphics.pokemon.palettes.normal/29
BPRE1.scripts.newgame.professor.pokemon  12FBB0,130FB8,130FC4 # ID of the pokemon shown during the professor's introduction. Also edit pointers to graphics.pokemon.sprites.front/29 and graphics.pokemon.palettes.normal/29
BPGE1.scripts.newgame.professor.pokemon  12FB88,130F90,130F9C # ID of the pokemon shown during the professor's introduction. Also edit pointers to graphics.pokemon.sprites.front/29 and graphics.pokemon.palettes.normal/29
BPEE0:scripts.newgame.professor.pokemon  031924,030B0C        # ID of the pokemon shown during the professor's introduction

BPEE0.scripts.newgame.starters.count     133EE2
BPEE0.scripts.newgame.starters.count-2   13431E

# Catchmap. See http://sfc.pokefans.net/lesson.php?id=20
BPRE0.data.maps.catchmap.conversion.kanto.length 13CA9C
BPRE1.data.maps.catchmap.conversion.kanto.length 13CB14
BPGE0.data.maps.catchmap.conversion.kanto.length 13CA74
BPGE1.data.maps.catchmap.conversion.kanto.length 13CAEC

# 2 entries for speed (because double battles), 1 entry each for atk, def, spatk, spdef
AXVE0.scripts.battle.badge.boost 013144,01322C,03BB8A,03BBD0,03BC1A,03BC66
AXVE1.scripts.battle.badge.boost 013144,01322C,03BB8A,03BBD0,03BC1A,03BC66
AXPE0.scripts.battle.badge.boost 013144,01322C,03BB8A,03BBD0,03BC1A,03BC66
AXPE1.scripts.battle.badge.boost 013144,01322C,03BB8A,03BBD0,03BC1A,03BC66
BPRE0.scripts.battle.badge.boost 014E2C,014F14,03EE36,03EE68,03EE9E,03EED6
BPRE1.scripts.battle.badge.boost 014E40,014F28,03EE4A,03EE7C,03EEB2,03EEEA
BPGE0.scripts.battle.badge.boost 014E2C,014F14,03EE36,03EE68,03EE9E,03EED6
BPGE1.scripts.battle.badge.boost 014E40,014F28,03EE4A,03EE7C,03EEB2,03EEEA
BPEE0.scripts.battle.badge.boost 03D064,03D150,0696B6,0696D2,0696F4,069716

# lucky egg exp boost, normally 150%
AXVE0.scripts.exp.boost.luckyegg 02038E
AXVE1.scripts.exp.boost.luckyegg 02038E
AXPE0.scripts.exp.boost.luckyegg 02038E
AXPE1.scripts.exp.boost.luckyegg 02038E
BPRE0.scripts.exp.boost.luckyegg 021DC2
BPRE1.scripts.exp.boost.luckyegg 021DD6
BPGE0.scripts.exp.boost.luckyegg 021DC2
BPGE1.scripts.exp.boost.luckyegg 021DD6
BPEE0.scripts.exp.boost.luckyegg 04A682

# trainer battle exp boost, normall 150%
AXVE0.scripts.exp.boost.trainer 0203AC
AXVE1.scripts.exp.boost.trainer 0203AC
AXPE0.scripts.exp.boost.trainer 0203AC
AXPE1.scripts.exp.boost.trainer 0203AC
BPRE0.scripts.exp.boost.trainer 021DDE
BPRE1.scripts.exp.boost.trainer 021DF2
BPGE0.scripts.exp.boost.trainer 021DDE
BPGE1.scripts.exp.boost.trainer 021DF2
BPEE0.scripts.exp.boost.trainer 04A69E

# Exp Boost for traded pokemon, normally 150%
AXVE0.scripts.exp.boost.traded 0203D6
AXVE1.scripts.exp.boost.traded 0203D6
AXPE0.scripts.exp.boost.traded 0203D6
AXPE1.scripts.exp.boost.traded 0203D6
BPRE0.scripts.exp.boost.traded 021E12
BPGE0.scripts.exp.boost.traded 021E12
BPRE1.scripts.exp.boost.traded 021E26
BPGE1.scripts.exp.boost.traded 021E26
BPEE0.scripts.exp.boost.traded 04A6FC

# Nature limiters
# AXVE0.data.pokemon.natures.count   03F46E,03F47E,084E66
# AXVE0.data.pokemon.natures.count-1 084DFE,084E0C,084E30,084E5A
# AXVE0.data.pokemon.natures.count-2 084E38
# AXPE0.data.pokemon.natures.count   03F46E,03F47E,084E66
# AXPE0.data.pokemon.natures.count-1 084DFE,084E0C,084E30,084E5A
# AXPE0.data.pokemon.natures.count-2 084E38
# AXVE1.data.pokemon.natures.count   03F46E,03F47E,084E86
# AXVE1.data.pokemon.natures.count-1 084E1E,084E2C,084E50,084E7A
# AXVE1.data.pokemon.natures.count-2 084E58
# AXPE1.data.pokemon.natures.count   03F46E,03F47E,084E86
# AXPE1.data.pokemon.natures.count-1 084E1E,084E2C,084E50,084E7A
# AXPE1.data.pokemon.natures.count-2 084E58
# BPRE0.data.pokemon.natures.count   042EA6,042EB6,082A1C
# BPGE0.data.pokemon.natures.count   042EA6,042EB6,0829F0
# BPRE1.data.pokemon.natures.count   042EBA,042ECA,082A30
# BPGE1.data.pokemon.natures.count   042EBA,042ECA,082A04
# BPEE0.data.pokemon.natures.count   06D07A,06D08A,0B4E54
# BPEE0.data.pokemon.natures.count-1 0B4DB2,0B4DC0,0B4DE4,0B4E0A
# BPEE0.data.pokemon.natures.count-2 0B4DEC

# type limiter. See LoadMoveInfoUI and DrawMoveInfoUIMarkers
BPRE0.data.pokemon.type.length   456F10
BPGE0.data.pokemon.type.length   456930
BPRE1.data.pokemon.type.length   456F70
BPGE1.data.pokemon.type.length   4569A0
AXVE0.data.pokemon.type.length   3B5A92,3B5A9A
AXPE0.data.pokemon.type.length   3B5AEA,3B5AF2
AXVE1.data.pokemon.type.length   3B5AAE,3B5AB6
AXPE1.data.pokemon.type.length   3B5B0A,3B5B12
BPRE0.data.pokemon.type.length+1 0E5448,133408
BPRE0.data.pokemon.type.length+2 0E5454,133414
BPRE0.data.pokemon.type.length+3 0E5460,133420
BPRE0.data.pokemon.type.length+4 0E546C,13342C
BPRE0.data.pokemon.type.length+5 0E5478
BPGE0.data.pokemon.type.length+1 0E5420,1333E0
BPGE0.data.pokemon.type.length+2 0E542C,1333EC
BPGE0.data.pokemon.type.length+3 0E5438,1333F8
BPGE0.data.pokemon.type.length+4 0E5444,133404
BPGE0.data.pokemon.type.length+5 0E5450
BPRE1.data.pokemon.type.length+1 0E545C,133480
BPRE1.data.pokemon.type.length+2 0E5468,13348C
BPRE1.data.pokemon.type.length+3 0E5474,133498
BPRE1.data.pokemon.type.length+4 0E5480,1334A4
BPRE1.data.pokemon.type.length+5 0E548C
BPGE1.data.pokemon.type.length+1 0E5434,133458
BPGE1.data.pokemon.type.length+2 0E5440,133464
BPGE1.data.pokemon.type.length+3 0E544C,133470
BPGE1.data.pokemon.type.length+4 0E5458,13347C
BPGE1.data.pokemon.type.length+5 0E5464
BPEE0.data.pokemon.type.length-1 1A6A2A,1A6AB8
BPEE0.data.pokemon.type.length   1A6ADA,56EFDE,56EFE6
BPEE0.data.pokemon.type.length+1 1AE2C0
BPEE0.data.pokemon.type.length+2 1AE2CC
BPEE0.data.pokemon.type.length+3 1AE2D8
BPEE0.data.pokemon.type.length+4 1AE2E4
BPEE0.data.pokemon.type.length+5 61CFC1
BPEE0.data.pokemon.type.length*8 1C44AA,1C454E
AXVE0.data.pokemon.type.length+5 3C11BD
AXVE0.data.pokemon.type.length*8 0A01F4,0A02F0
AXPE0.data.pokemon.type.length+5 3C1215
AXPE0.data.pokemon.type.length*8 0A01F4,0A02F0
AXVE1.data.pokemon.type.length+5 3C11D9
AXVE1.data.pokemon.type.length*8 0A0214,0A0310
AXPE1.data.pokemon.type.length+5 3C1235
AXPE1.data.pokemon.type.length*8 0A0214,0A0310

# number of item effects that link to type boost. See sHoldEffectToType
AXVE0.data.pokemon.type.holdEffect.length-1   03BCD8
AXPE0.data.pokemon.type.holdEffect.length-1   03BCD8
AXVE1.data.pokemon.type.holdEffect.length-1   03BCD8
AXPE1.data.pokemon.type.holdEffect.length-1   03BCD8
BPRE0.data.pokemon.type.holdEffect.length-1   03EF40
BPGE0.data.pokemon.type.holdEffect.length-1   03EF40
BPRE1.data.pokemon.type.holdEffect.length-1   03EF54
BPGE1.data.pokemon.type.holdEffect.length-1   03EF54
BPEE0.data.pokemon.type.holdEffect.length-1   069778

# trainer phone calls
BPEE0.data.trainers.call.odds.normal 195E8E
BPEE0.data.trainers.call.odds.lightningrod 195EAC
